Name,Compound ID,InChIKey,SMILES,logS,logP,MW
,C6782,LRUBEPGLRBIWIK-UHFFFAOYSA-N,CCOC(=O)C1=CNC2N(C1=O)C(C)CCC2,-2.227881237,1.0304,238.283
,C1252,LRUUNMYPIBZBQH-UHFFFAOYSA-N,Cc1c[nH]c(=O)nc1N,-1.46,0.2417,125.129
,C3191,LRWBJGZHGVHLEN-UHFFFAOYSA-M,CCOC(=O)c1c(C)ccc(c1OCCN(CC)CC)C(C)C,-4.876700416,4.0157,321.454
,C769,LRWSFOSWNAQHHW-UHFFFAOYSA-N,Clc1ccc(cc1Cl)n1oc(=O)n(c1=O)C,-2.8199999,1.436,261.062
,C5942,LRXXRIXDSAEIOR-UHFFFAOYSA-N,CC[N+](CCOc1ccccc1c1ccccc1)(CC)C.[I-],-2.75565002,1.2228,411.32
,C1772,LRZFEBJUJIQVDQ-UHFFFAOYSA-N,CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,-9.794162679,6.7702,549.691
,C4166,LRZUYSRNNXQUAJ-UHFFFAOYSA-N,CC(Cc1ccccc1)NCc1ccccc1Cl,-3.992996787,4.4517,259.774
,C9903,LSAHUFPNCNCJLX-UHFFFAOYSA-N,COC(=O)CN(C)C,0.931265121,-0.279,117.146
,C4805,LSBDFXRDZJMBSC-UHFFFAOYSA-N,Brc1cccnc1OCCCCCN1CSCC1.Cl,-3.536145296,4.1394,367.733
,C8470,LSLYOANBFKQKPT-UHFFFAOYSA-N,NC1CCN(C1=O)c1ccc(cc1)F,-0.926541516,1.655,194.206
,C8756,LSPHULWDVZXLIL-LDWIPMOCSA-N,NC(=O)Cc1ccccc1,-0.572278879,1.4147,135.163
,C8537,LSQXNMXDFRRDSJ-UHFFFAOYSA-N,CC(Cc1ccc(cc1)O)NCC(c1cc(O)cc(c1)O)O,-0.865269932,2.4485,303.353
,C1264,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,-1.42,1.5981,200.232
,C4295,LSSUMOWDTKZHHT-UHFFFAOYSA-N,COc1cc(C)ccc1C(C)C,-3.881046339,3.127,164.244
,C7117,LSTKNZAMFRGXCG-WLHGVMLRSA-N,O=C([C@@H](c1ccc(cc1)O)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,-2.027099482,1.0528,365.404
,C6704,LSUJEOLKHABULX-UHFFFAOYSA-N,CCN(CCc1c[nH]c2c1cccc2)CC,-2.270654746,3.0522,216.322
,C3199,LSVAHJRFSZHOBF-UHFFFAOYSA-N,OC(=O)/C=C/C(=O)O.CN(CCCOC1(CCCCCC1)Cc1ccccc1)C,-4.8708357,4.0022,405.528
,C2745,LSXKDWGTSHCFPP-UHFFFAOYSA-N,N/C(=[NH+]/CCCC1CCCCC1)/CSSC/C(=[NH+]/CCCC1CCCCC1)/N.[Cl-].[Cl-],-5.445805907,-2.627,499.648
,C2187,LTBCQBSAWAZBDF-MLTZYSBQSA-N,c1ccc(cc1)C(c1ccccc1)(c1ccccc1)CCN1CCN(CC1)c1ncccn1,-6.51750281,5.0262,434.575
,C348,LTCPODHLAKFBTK-UHFFFAOYSA-N,CCCCCCCBr,-4.4299998,3.3517,179.098
,C7717,LTEQMZWBSYACLV-UHFFFAOYSA-N,O[C@H]1[C@@H](O[C@]([C@H]1O)(F)COS(=O)(=O)N)n1cnc2c1ncnc2N,-1.586864928,-0.0927,364.31
,C2744,LTGKKKITNWDUCD-UHFFFAOYSA-N,Cc1ccc2c(c1)c(C)cc(n2)SCCCCCN1CSCC1.Cl.Cl,-5.446606551,6.6622,419.475
,C213,LTHJBDQSFIGMAZ-UHFFFAOYSA-N,CCCCCCc1ccccc1,-5.21,3.8094,162.271
,C8914,LTHNHFOGQMKPOV-QMMMGPOBSA-N,CC(=O)Nc1ccc(cc1)[As](=O)(O)O,-0.354650176,-0.721,259.091
,C5701,LTILHNGHWBCFLL-UHFFFAOYSA-N,[NH3+]C12CCC(CC1)(CC2)c1ccccc1.[Cl-],-2.909291264,-0.7231,237.768
,C1168,LTIQDBREXPREBY-BTJKTKAUSA-N,CCCC[C@@H](CN)CC,-1.71,2.8618,129.243
,C4363,LTMHDMANZUZIPE-KUPWFOFFSA-N,Brc1cc(C)c(c(c1)C(=O)NC1CC1)O,-3.835739627,2.7462,270.122
,C2442,LTMHDMANZUZIPE-PUGKRICDSA-N,OC(=O)/C=C\C(=O)O.CCCNCC1COC2(O1)c1ccccc1C=Cc1c2cccc1,-5.93339994,3.8892,437.485
,C438,LTMHNWPUDSTBKD-UHFFFAOYSA-N,O=C1OCC(=C1)[C@H]1CC[C@@]2([C@]1(C)[C@H](O)C[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@@H](C2)O[C@@H]1C[C@H](O)[C@H]([C@@H](O1)C)O[C@@H]1C[C@H](O)[C@H]([C@@H](O1)C)O[C@@H]1C[C@H](O)[C@H]([C@@H](O1)C)O)O,-4.0799999,2.2181,780.938
,C4040,LTNZEXKYNRNOGT-UHFFFAOYSA-N,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)[C@H](O)C[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,-4.081047651,2.2181,780.938
,C7710,LTWIBTYLSRDGHP-HCURTGQUSA-N,CCOC=C(C(=O)OCC)C(=O)OCC,-1.592746931,1.033,216.231
,C7125,LTWLHRVVHNBGBR-UHFFFAOYSA-N,Nc1cc(C)[n+](c2c1cccc2)CCCCCCCCCC[n+]1c(C)cc(c2c1cccc2)N.[Cl-].[Cl-],-2.023316673,1.3406,527.571
,C3188,LTWLLPCABGILCV-UHFFFAOYSA-N,Clc1ccc(cc1)/C=N/N/C(=N/N=C/c1ccc(cc1)Cl)/N.Cl,-4.880558231,5.1589,370.664
,C4413,LUALIOATIOESLM-UHFFFAOYSA-N,OCCN1CCN(CC1)CCC(=O)N1c2ccccc2Sc2c1cccc2.Cl.Cl,-3.793083027,4.3607,456.429
,C6381,LUCYABSAYIDKJV-UHFFFAOYSA-N,Clc1ccc(nc1)OCCCCN1CSCC1.Cl,-2.49030829,3.6402,309.255
,C457,LUEYGEDBAGAETN-UHFFFAOYSA-N,N#Cc1ccc2c(c1)N(CCCN1CCC(CC1)O)c1c(S2)cccc1,-3.98,4.01068,365.492
,C6426,LUHUIAWMUOEPTR-UHFFFAOYSA-N,N#CSc1cccc(c1)C(=O)O,-2.457440999,1.95798,179.196
,C2403,LUKBTGVFHUVGRT-UHFFFAOYSA-N,CCCCCOc1ccc(cc1)C(=O)OCCCN1CCCCC1C,-6.01590874,4.6148,347.492
,C8533,LUKSBMJXPCFBKO-UHFFFAOYSA-N,CCCCSC(c1ccccn1)C(=O)N.Cl,-0.868499576,3.6436,260.783
,C5758,LULAYUGMBFYYEX-UHFFFAOYSA-N,COc1ccccc1N1CCN(CC1)CC(COc1ccccc1C(=O)C)O,-2.875599286,2.4626,384.469
,C6328,LULNWZDBKTWDGK-UHFFFAOYSA-M,CCC(=O)OC1(CCN(C1C)C)c1ccccc1,-2.519389247,2.497,247.333
,C854,LUMNFZCZEDAQNJ-QDPSZFTISA-N,Clc1cccc(c1)C(=O)O,-2.5899999,2.0382,156.566
,C9255,LUSHIYVPITXVAK-UHFFFAOYSA-N,O=C(N(C)C)Oc1cccc(c1)[N+](C)(C)C.[Br-],0.217240793,-1.0523,303.195
,C5503,LUWHVONVCYWRMZ-UHFFFAOYSA-N,O=C1C[C@@H]2OCC[C@H]3[C@H]4[C@@H]2[C@@H]2N1c1ccccc1[C@]12CCN([C@H]1C4)C3,-3.036802165,2.1753,336.427
,C3318,LUWRORGRVIUPSU-RFAYYOGSSA-N,OS(=O)(=O)SCCNCCC(c1ccccc1)(c1ccccc1)c1ccccc1,-4.710369334,6.0084,427.58
,C7647,LUYAMNYBNTVQJG-UHFFFAOYSA-N,CNC(Cc1ccc2c(c1)OCO2)C.Cl,-1.627971274,2.7586,229.703
,C2182,LVDKGYHINGQDRF-UHFFFAOYSA-N,Cc1ccc(cc1)N/N=C/1\C(=O)CC(C\C1=N/NC(=O)c1cnc([nH]c1=O)C)(C)C,-6.535604709,2.7936,408.454
,C1241,LVDKZNITIUWNER-UHFFFAOYSA-N,ClCCS(=O)(=O)CCCl,-1.5,1.9596,191.076
,C4270,LVHCUONWHLDNDW-ZROIWOOFSA-N,OC(=O)C(c1ccc2c(c1)nc(o2)c1ccccc1F)C,-3.905033823,3.822,285.27
,C9174,LVISWIXSNZQRHA-UHFFFAOYSA-N,OCC([N+](=O)[O-])(CO)Br,0.09693605,-0.1379,199.988
,C5608,LVJAHKSVOQLCEV-UHFFFAOYSA-N,CCN(/N=C\C(=O)c1ccc(cc1)Cl)CC,-2.971339529,2.8503,238.713
,C9443,LVKZSFMYNWRPJX-UHFFFAOYSA-N,CC(NCC(c1cccc(c1)O)O)C,0.370247767,1.8145,195.258
,C6592,LVNOZUPADRTWMK-UHFFFAOYSA-N,CC1CC(C(=O)O1)(CC=C)C(=O)NC(=O)N,-2.350232642,1.1704,226.229
,C8662,LVQRQSCTKFPBSE-UHFFFAOYSA-N,O[As](=O)(c1ccccc1)O,-0.726113306,-0.7524,202.04
,C2511,LVRKSDQLEQQBHH-UHFFFAOYSA-N,CC[NH+](CCOC(=O)CC1c2ccccc2c2c1cccc2)CC.[Cl-],-5.816602274,-0.3391,359.89
,C5164,LVROLHVSYNLFBE-UHFFFAOYSA-N,C[NH2+]CC=C(c1cccc(c1)F)c1cccc(c1)F.[Cl-],-3.269539376,-0.4063,295.755
,C7601,LVVRSRYXKCKALW-UHFFFAOYSA-N,CCOC(=O)c1cnc2n(c1=O)cc(cc2)C,-1.663332311,1.1796,232.235
,C122,LVYJIIRJQDEGBR-UHFFFAOYSA-N,Clc1ccc(c(c1c1ccccc1)Cl)Cl,-6.29,5.3138,257.543
,C7763,LVZBMEOGPGFHKB-UHFFFAOYSA-N,Nc1nc(nc(n1)N(C)C)N(C)C,-1.555443014,0.167,182.226
,C6810,LWBAYRVWDMTLKC-UHFFFAOYSA-N,FCCI,-2.199049224,1.3909,173.956
,C2465,LWBDLDRSUCFTEB-JLHYYAGUSA-N,CCCCCCCOc1ccc(cc1)NC(=O)OCC[NH+]1CCCCC1.[Cl-],-5.889725872,2.2993,398.967
,C4044,LWCIBYRXSHRIAP-UHFFFAOYSA-N,CC1CCCCN1CCCOC(=O)C1CCCCC1,-4.078877637,3.3123,267.407
,C8291,LWEBYMLDVJZRKF-UHFFFAOYSA-N,O=C(c1ccccc1)/C=N/N1CCOCC1,-1.100920088,1.1252,218.252
,C8368,LWHDQPLUIFIFFT-UHFFFAOYSA-N,OCC(COCc1ccccc1)O,-1.007740604,0.5564,182.216
,C3452,LWLJUMBEZJHXHV-UHFFFAOYSA-N,Clc1ccc2c(c1)c(N)c1c(n2)cccc1,-4.580351812,4.2048,228.677
,C4352,LWQZLQISFLBSGW-UHFFFAOYSA-N,BrC1=C(Br)C(=O)C(=C(C1=O)Br)Br,-3.842420661,3.141,423.679
,C69,LWSXRFQDNPVXIU-UHFFFAOYSA-N,ClC1=C(Cl)C(=C([C@]1(Cl)[C@]1(Cl)C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,-7.2800002,7.7256,474.637
,C4263,LWUJMIFHFTUYOU-UHFFFAOYSA-N,ClC(=CCC1=C(O)c2c(C(=O)C1=O)cccc2)Cl,-3.912493514,3.4302,283.107
,C2423,LWULXYSYLOIDQY-UHFFFAOYSA-N,OC(=O)C(=O)O.CCC(=O)N(c1ccccc1)CC(N1CCC(CC1)c1ccccc1)C.CCC(=O)N(c1ccccc1)CC(N1CCC(CC1)c1ccccc1)C,-5.975995472,8.4268,791.029
,C5082,LWUYTXFIYUOZGE-UHFFFAOYSA-N,CCCCCCCCNCCCNCCSP(=O)(O)O.CCCCCCCCNCCCNCCSP(=O)(O)O.O.O.O,-3.324323613,6.8549,706.917
,C339,LWVTVUWDPRDWKX-UHFFFAOYSA-L,CC(=O)Oc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-],-4.4699998,4.0806,296.276
,C2485,LWXUPCAADQWXRE-HZSDWAELSA-N,Clc1ccccc1CNC1CCC(CC1)NCc1ccccc1Cl.CC(=O)O.CC(=O)O,-5.852463814,6.1476,483.428
,C9402,LXACVVADKCRIQI-UHFFFAOYSA-N,C[N+](CCC1CC[N+](CC1)(C)C)(C)C.[I-].[I-],0.34277296,-4.4641,454.173
,C1996,LXCFILQKKLGQFO-UHFFFAOYSA-N,C/C=C\C=C\[C@@H]1O[C@@](O)([C@H]([C@@H](C1(C)C)O)O)[C@@H](C(=O)NC/C=C/C=C(/[C@H]([C@H]([C@@H]1O[C@@H]([C@@H]([C@@H]1O)O)/C=C/C=C/C=C(/C(=C/1\C(=O)NC=CC1=O)/O)\C)C)OC)\C)CC,-7.17633929,3.5424,796.943
,C4310,LXFFWIWHBKFGJU-UHFFFAOYSA-N,CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN(C)C)C(C)C,-3.863709809,2.7787,351.437
,C1147,LXGKFCALTYIGBW-UHFFFAOYSA-N,COC(=O)c1ccc(cc1)O,-1.78,1.1788,152.147
,C4021,LXHOGENDFZKPSF-UHFFFAOYSA-N,Brc1ccc(nc1)SCCCCCN1CSCC1.Cl,-4.094136295,4.8527,383.798
,C2596,LXMQMMSGERCRSU-UHFFFAOYSA-N,COc1cc2c(cc1OC)CCN(C2CCc1c(Cl)cccc1Cl)C,-5.669512187,5.1103,380.308
,C5462,LXMSZDCAJNLERA-YQNMCIRBSA-N,CN(c1ccc(cc1)C(c1ccc(cc1)N(C)C)(c1ccccc1)O)C,-3.062549395,4.1028,346.465
,C22,LXNHXLLTXMVWPM-UHFFFAOYSA-N,FC(c1cccc(c1)C(n1cncn1)(c1ccccc1)c1ccccc1)(F)F,-8.3999996,5.1371,379.378
,C383,LXRLABSDZUKVGP-UHFFFAOYSA-N,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2([C@H]2[C@H]1[C@H]1CC[C@]3([C@@]1(CC2)C)CCC(=O)O3)C,-4.2800002,4.8523,416.573
,C9258,LXYHHQBJIVTGNY-UHFFFAOYSA-N,OCc1c(CO)cnc(c1O)C,0.221900113,0.0802,169.178
,C2602,LXZKVRZDXPACMC-UHFFFAOYSA-N,C[NH2+]CCCC1c2ccccc2CCc2c1cccc2.[Cl-],-5.656981045,-0.1055,301.854
,C3088,LYCOGTNKKCCKLN-UHFFFAOYSA-N,CC1CC(CC([NH+]1C)C)OC(=O)C(c1ccccc1)c1ccccc1.[Cl-],-5.004578121,1.389,373.916
,C4586,LYDULXUBCSVHIU-BUHFOSPRSA-N,CCCCOc1ccc(cc1Cl)CC(=O)O,-3.673260776,3.146,242.699
,C3535,LYFYXKGHAQOPTP-DHDCSXOGSA-N,CCC(=O)c1ccc(cc1)OCC(CN1CCN(CC1)c1cccc(c1)C(F)(F)F)O.Cl.Cl,-4.494863655,5.4669,509.389
,C4137,LYGJENNIWJXYER-UHFFFAOYSA-N,CN(/N=N/c1cccc(c1)C(F)(F)F)C,-4.013391476,3.2657,217.191
,C4969,LYKVTAYDCDKKNN-UHFFFAOYSA-N,CC(N1CCN(CC1)CC(=O)N/N=C\c1ccc(o1)[N+](=O)[O-])C,-3.402466925,1.4538,323.348
,C1579,LYMCPICMHHGLKL-UHFFFAOYSA-N,[O-][N+](=O)C,0.25999999,0.4161,61.04
,C5311,LYOMMGYLWUESDC-UHFFFAOYSA-M,CN1C2CCC1CC(C2)Oc1ccc(cc1)Cl.Cl,-3.156516017,4.0839,288.213
,C4284,LYQGEPVEGHFFJM-UHFFFAOYSA-N,Fc1cccc(c1)C(C(=O)c1ccccc1)CN1CCCC1.Cl,-3.891069358,4.6279,333.828
,C4229,LYQLXJMHHDAPRW-UHFFFAOYSA-N,ClCCN(c1cc(ccc1C)C(=O)NCC(=O)[O-])CCCl.[Na+],-3.940867556,1.1496,355.192
,C6511,LYXITZQJPFABBF-ZZAMHKPASA-N,Nc1ccc(cc1)C(=O)Nc1ccc(nc1C)C,-2.400727934,3.1871,241.288
,C3735,LYXOWKPVTCPORE-UHFFFAOYSA-N,C[NH+](CCOC(c1ccccc1)c1ccc(cc1)C(C)C)C.[Cl-],-4.308772558,0.0645,333.895
,C2862,LYZGJWXNOGIVQA-DDWIOCJRSA-M,CCC(C(/C=C/C=C(/CCC=C(C)C)\C)O)(O)C,-5.274981094,3.7572,252.392
,C2856,LYZGJWXNOGIVQA-QRPNPIFTSA-M,O=C(c1ccccc1)c1ccc(cc1)c1ccccc1,-5.27861914,4.5846,258.314
,C4340,LYZGJWXNOGIVQA-UHFFFAOYSA-M,C=CCC1([C@@H](CCC)C)C(=O)NC(=S)N=C1[O-].[Na+],-3.850363414,1.9932,276.33
,C4341,LZAKUZBAAQDJCF-UHFFFAOYSA-N,CCC[C@@H](C1(CC=C)C(=O)NC(=NC1=O)[S-])C.[Na+],-3.850363414,1.3088,276.33
,C7381,LZCAXNJTFIACNO-UHFFFAOYSA-L,CCCC(C1(CC=C)C(=O)NC(=NC1=O)[S-])C.[Na+],-1.827586199,1.3088,276.33
,C8796,LZCBNYVJTNCPDR-UHFFFAOYSA-N,O=C1OCC(C1)(C)C,-0.517123613,0.9595,114.142
,C3661,LZDKZFUFMNSQCJ-UHFFFAOYSA-N,CC[N+]1(C)CCC(CC1)CC[N+]1(CC)CCCC1.[I-].[I-],-4.37975947,-3.1909,508.264
,C4174,LZJRNLRASBVRRX-ZDUSSCGKSA-N,COc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)CC(C)C,-3.987471311,3.6998,327.422
,C1436,LZKVXMYVBSNXER-YZPKDWIXSA-N,CCOCCOCC,-0.76999998,1.0594,118.174
,C5402,LZMATGARSSLFMQ-UHFFFAOYSA-N,COc1cc2c(cc1O)C[C@H]1c3c2c(OC)c(O)cc3CCN1C,-3.100747456,2.805,327.374
,C6455,LZNWYQJJBLGYLT-UHFFFAOYSA-N,CC[C@@](C(=O)O[C@H]1C(=O)O[C@H]2[C@]34[C@@H]1[C@@H](C)[C@@H](O)[C@@]([C@@H]4[C@@]1([C@@H](C2)C(=C[C@@H]([C@H]1O)O)C)C)(OC3)O)(O)C,-2.440693114,-0.3593,496.547
,C8286,LZRSJRREUJZNLN-UHFFFAOYSA-N,CC(NC(=O)N)C,-1.103387217,1.1543,102.135
,C3662,LZSHSTGCCZALGE-UHFFFAOYSA-N,O=C(C1=C(O)c2sccc2S(=O)(=O)N1C)Nc1ccccn1,-4.379192906,2.7342,337.374
,C6286,LZXCEBPGNFLHEQ-UHFFFAOYSA-N,NC(=O)OCCN1OCc2c(C1)ccc(c2)Cl,-2.540170463,2.3207,256.686
,C3022,LZXUGCWQXVQIDR-UHFFFAOYSA-N,CC[NH+](CCOC(=O)n1c2ccc(cc2c2c1cccc2)N)CC.[Cl-],-5.075678997,-0.1287,361.866
,C5324,LZXXNPOYQCLXRS-UHFFFAOYSA-N,ClCCN(Cc1ccccc1)Cc1ccccc1.Cl,-3.147971819,4.7296,296.235
,C8439,LZXYXZYVUMCUJG-UHFFFAOYSA-N,OP(=O)(SCCCNCCCNCCCSP(=O)(O)O)O,-0.948003133,1.7695,382.374
,C1209,LZYYNZUWBANDMX-UHFFFAOYSA-L,COC(=O)c1ccc(cc1)N,-1.59,1.6366,151.163
,C7201,LZZYPRNAOMGNLH-UHFFFAOYSA-M,FCCN(P(=O)(Cl)Cl)CCCl,-1.959715473,3.0824,242.444
,C9400,MADQXQUXQNQNPF-UHFFFAOYSA-N,C[N+](CCCCCC[N+](C)(C)C)(C)C.[I-].[I-],0.340849469,-4.0328,456.189
,C8767,MAEIEVLCKWDQJH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-0.561645092,3.1779,364.447
,C5588,MAFFCSDANSLBTB-UHFFFAOYSA-N,O=C(C(c1ccccc1)(c1ccccc1)O)OCC[NH+]1CCCC1.[Cl-],-2.984516512,-0.2824,361.862
,C3246,MAFHATNPZLRYJY-UHFFFAOYSA-M,CCCCNc1cc(cc(c1Oc1ccccc1)S(=O)(=O)N)C(=O)O,-4.811011898,4.8906,364.416
,C3632,MAFMQEKGGFWBAB-UHFFFAOYSA-N,CNCCC1(CC(c2c1cccc2)C)c1ccccc1.Cl,-4.404255729,5.2823,301.854
,C4226,MAGVRYQQEVBJKC-UHFFFAOYSA-N,CC([N+](C)(C)C)CN1c2ccccc2Sc2c1cccc2.[I-],-3.942247482,1.453,426.358
,C2580,MAHAMBLNIDMREX-UHFFFAOYSA-N,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(cc1)NCCCC,-5.691658777,2.9076,603.742
,C6090,MAHSANFPQVGYHC-UHFFFAOYSA-N,CN(c1c(=O)n(c2ccccc2)c(=O)n(c1C)C)C,-2.66253847,0.9106,259.304
,C6193,MAIFJEXJCJPOCM-UHFFFAOYSA-N,OC(=O)c1cc2c(n1C)cccc2,-2.600049199,1.8765,175.184
,C4519,MAODNVTZUXOBNL-UHFFFAOYSA-N,CCc1sc2c(c1)C(=NCC(=O)N2C)c1ccccc1F.Cl,-3.709774,3.566,338.827
,C2801,MAQBLRFYCNOQJD-UHFFFAOYSA-N,CCCC[NH+](CCC1(c2ccccc2)C(=O)Oc2c1cccc2)CCCC.[Cl-],-5.34652048,0.7709,401.969
,C5054,MARBJSDTJFJORF-UHFFFAOYSA-N,CCN(C(C(=O)Nc1c(C)cccc1C)C)CC,-3.343560747,3.0452,248.364
,C5850,MARGMYHNEQURTE-UHFFFAOYSA-N,CCC(=O)N1C2CCC1CN(C2)Cc1ccccc1,-2.811260768,2.1476,258.359
,C7866,MATCWAFODDJQNN-UHFFFAOYSA-M,O=C(CN1CCOCC1)NCc1ccccc1,-1.481871947,0.9638,234.294
,C2545,MATCZHXABVLZIE-UHFFFAOYSA-N,CCC(C(c1ccccc1)(c1ccccc1)CC([NH+](C)C)C)OC(=O)CC.[Cl-],-5.745435069,0.6316,403.985
,C6582,MATYDTQTFVEWLI-UHFFFAOYSA-N,CCC1(OC(=O)[N-]C1=O)c1ccccc1.[Na+],-2.356398789,1.6729,227.192
,C7429,MAUBFEHMBSQXMM-UHFFFAOYSA-N,Clc1ccc2c(c1)oc(=O)[nH]2,-1.796364362,1.7745,169.565
,C4612,MAVAXPFTVGSHTB-UHFFFAOYSA-N,CN1CCC(CC1)(c1ccccc1)c1ccccc1.Cl,-3.661177908,4.4382,287.827
,C7131,MAYPTSUDLAWBGU-UHFFFAOYSA-N,O=C(c1ccccn1)NNCc1ccccc1,-2.020076645,2.298,227.262
,C8077,MAYVLFIUCRDJPJ-UHFFFAOYSA-N,C1CNC(C1)c1c[nH]c2c1cccc2,-1.291934418,2.9212,186.253
,C7001,MBABOKRGFJTBAE-UHFFFAOYSA-N,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ncnc2c1[nH]cn2,-2.086321619,2.1096,284.23
,C2447,MBAIEZXRGAOPKH-UHFFFAOYSA-N,C[NH+](CCCC1c2ccccc2C(c2c1cccc2)(C)C)C.[Cl-],-5.920702913,0.3865,329.907
,C9910,MBDMKWJEKDHRRP-UHFFFAOYSA-N,COS(=O)(=O)C,0.958106191,0.6732,110.132
,C146,MBDNRNMVTZADMQ-UHFFFAOYSA-N,C1Cc2ccc3c4c2c(C1)ccc4CCC3,-5.96,3.8172,208.298
,C317,MBDSEQQSRUBDRQ-UHFFFAOYSA-N,CCOC(=O)c1ccccc1S(=O)(=O)NN(c1nc(Cl)cc(n1)OC)C=O,-4.5799999,3.2792,414.821
,C9374,MBDUIEKYVPVZJH-UHFFFAOYSA-N,O=S1(=O)CC=CC1,0.32079039,1.0518,118.154
,C3963,MBEIYAXOZCKVDR-UHFFFAOYSA-N,C[NH2+]CCCN1c2ccccc2[NH2+]Cc2c1cccc2.[Cl-].[Cl-],-4.130451186,-3.2413,340.291
,C1567,MBGGBVCUIVRRBF-UHFFFAOYSA-N,CCS(=O)(=O)CC,0.039999999,1.5218,122.186
,C4328,MBGTZOAOUKGRQG-UHFFFAOYSA-N,CCC(=O)N1C2CCC1CN(C2)CCCc1ccccc1,-3.853857467,2.5802,286.412
,C3996,MBHNWCYEGXQEIT-UHFFFAOYSA-N,O=C1N(c2ccccc2)N(C(=O)C1CCS(=O)c1ccccc1)c1ccccc1,-4.112885983,4.7912,404.482
,C4241,MBJYNNMHFMUBHI-UHFFFAOYSA-N,CCCC[NH2+]CCOC(=O)c1cccc(c1OCCCC)OC.[Cl-],-3.932921684,-0.6016,359.888
,C1906,MBLSJHGGVBNRPT-UHFFFAOYSA-N,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F.Cl.Cl,-7.829998608,5.8529,510.443
,C7309,MBMQEIFVQACCCH-QBODLPLBSA-N,OCC(COc1ccc(cc1)C)(O)C,-1.879501049,1.1171,196.243
,C7287,MBRLOUHOWLUMFF-UHFFFAOYSA-N,COc1ccc(cc1)N1CCN(CC1)CC1CN=C(O1)N,-1.898636348,0.6695,290.361
,C4060,MBVCESWADCIXJN-UHFFFAOYSA-N,C[C@H]1CCCC(=O)CCC/C=C/c2c(C(=O)O1)c(O)cc(c2)O,-4.068042639,3.5796,318.364
,C375,MBWCTVKYEHQORY-YGICXTQQSA-N,COc1ccc2c(c1CC=C(C)C)oc(=O)cc2,-4.3099999,3.3103,244.286
,C7154,MBWXNTAXLNYFJB-NKFFZRIASA-N,Brc1ccc2c(c1)C(=O)C(=O)N2,-1.996229336,1.7219,226.027
,C3999,MBZDFRQDGNXUKS-WUKNDPDISA-N,Nc1ccc(cc1)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2.Cl,-4.110987215,5.5966,398.969
,C1732,MCBNZMRZUYBCAD-MWMYENNMSA-N,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/CC1=C(C)C(=O)c2c(C1=O)cccc2)/C,-11.96104738,9.1576,450.696
,C3415,MCCACAIVAXEFAL-UHFFFAOYSA-N,CN(Cc1ccccc1)/N=N/c1ccc(cc1)C(=O)O,-4.614731451,3.5155,269.298
,C8324,MCDJZKPTBCWNSJ-UHFFFAOYSA-N,CC(CC(C)(C)C)OCn1ccn(/c/1=C/[NH+]=O)C.[Cl-],-1.074714534,-2.5045,289.802
,C1924,MCHADYPYCJQLMV-AWEZNQCLSA-N,Clc1ccc(c(c1)Cl)COC(c1ccc(cc1Cl)Cl)Cn1cncc1.[O-][N+](=O)O,-7.635134927,6.6303,479.141
,C7508,MCICEZSGVOVLQQ-UHFFFAOYSA-N,CC(CS(=O)CC(C)C)C,-1.731727941,2.9128,162.293
,C4191,MCILYHVMCGKQGR-UHFFFAOYSA-L,COc1ccc2c(cc1=O)[C@H](CCc1c2c(OC)c(c(c1)OC)OC)NC(=O)C(F)(F)F,-3.973447887,3.8049,453.408
,C6325,MCJGNVYPOGVAJF-UHFFFAOYSA-N,ClCCN(C(Cc1ccccc1)C)C.Cl,-2.520304194,3.5902,248.192
,C9492,MCLOPXVYPGACGR-UHFFFAOYSA-N,CC[N+](CCOCCC[N+](C)(C)C)(CC)C.[Br-].[Br-],0.406470265,-4.4063,392.214
,C913,MCOQHIWZJUDQIC-UHFFFAOYSA-N,Oc1cccc2c1nccc2,-2.4200001,1.9404,145.158
