Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,Aromatic Proportion,NumValenceElectrons,logS,Label,Difference
WIIZWVCIJKGZOK-IUCAKERBSA-N,0.909,323.132,6,5,3,0.3,110,-2.1099999,-1.824898379,0.2851015207
WIIZWVCIJKGZOK-RKDXNWHRSA-N,0.909,323.132,6,5,3,0.3,110,-2.11,-1.824898379,0.2851016207
HKQBXOVZKQILFC-RACBXGGBSA-N,2.6843,475.582,6,6,5,0.1764705882,188,-5.021127207,-4.735970175,0.2851570317
WFLSCFISQHLEED-UHFFFAOYSA-N,3.44418,244.382,5,2,0,0.3333333333,98,-3.192169562,-3.477337157,0.2851675945
FNIPRNMPSXNBDI-UHFFFAOYSA-N,1.3735,181.235,0,2,1,0,72,-1.711699409,-1.997130107,0.2854306978
DGMPVYSXXIOGJY-UHFFFAOYSA-N,2.1224,179.219,4,2,1,0.4615384615,70,-2.232194726,-1.946731348,0.2854633784
CKFMTGDMYVBVIB-HMXKFKBXSA-N,-2.0226,300.271,6,7,2,0.2380952381,116,-2.710357524,-2.424838758,0.2855187656
VXQHWNOTPARMJB-INEOJGKQSA-N,2.3741,463.571,6,6,5,0.1818181818,184,-4.590569308,-4.876169396,0.285600088
JICCKKKVYQHSJY-UHFFFAOYSA-N,-0.34338,347.286,3,2,2,0.2727272727,124,-4.674392434,-4.388750252,0.2856421822
VAJVDSVGBWFCLW-UHFFFAOYSA-N,1.6115,136.194,3,1,1,0.6,54,-1.38,-1.094315025,0.2856849746
PBPCBTOCQIYTPL-UHFFFAOYSA-N,2.05772,258.325,4,4,0,0.5789473684,100,-2.865623791,-2.579525842,0.286097949
DTAAMVZDTXCCDV-UHFFFAOYSA-N,2.24762,234.299,2,3,1,0.3529411765,92,-2.324447456,-2.038326448,0.2861210084
JUBAFYPBMDLOSF-UHFFFAOYSA-N,1.2724,236.526,6,2,1,0,74,-1.743434487,-1.457124297,0.2863101896
FXFYOPQLGGEACP-UHFFFAOYSA-N,2.10142,160.172,0,2,0,0.8333333333,60,-2.261438469,-1.975081843,0.2863566259
RMFNNCGOSPBBAD-MDWZMJQESA-N,1.6262,221.26,3,3,1,0.375,86,-2.3399999,-2.053553535,0.2864463651
YBCPYHQFUMNOJG-UHFFFAOYSA-N,4.519,345.87,5,3,0,0.5,128,-5.011795015,-4.725328562,0.2864664527
WBDWTNWLWBQFJU-UHFFFAOYSA-N,0.7116,217.232,2,6,2,0.75,82,-2.086503778,-2.373075644,0.2865718664
SDOHGYUYKZFOOW-UHFFFAOYSA-N,0.4323,270.376,9,5,3,0,96,-1.219758046,-0.9328738492,0.2868841968
LWCIBYRXSHRIAP-UHFFFAOYSA-N,0.5564,182.219,5,3,2,0.4615384615,72,-1.007740604,-1.294796422,0.2870558176
AXOZSLHVJTYWQM-UHFFFAOYSA-N,2.4611,227.263,3,2,1,0.7058823529,86,-2.607565874,-2.894977482,0.2874116078
CWWODDIXPTUZOV-ZHACJKMWSA-N,2.9688,195.291,3,3,0,0.4615384615,70,-3.170751252,-3.458193808,0.2874425562
FMLSQAUAAGVTJO-UHFFFAOYSA-N,1.8034,116.204,2,1,1,0,50,-0.92000002,-1.207637405,0.2876373854
WIWGOIWXMIGNHQ-UHFFFAOYSA-N,-0.6512,250.773,1,0,2,0.5294117647,92,-1.923604392,-2.211387009,0.2877826168
KBKUJJFDSHBPPA-ZNCGZLKOSA-N,2.9148,458.551,2,7,2,0.1818181818,180,-4.26050442,-4.548651918,0.2881474976
GJDMTPFVCPFMQA-UHFFFAOYSA-N,-2.35408,298.814,3,2,1,0.3,112,-2.437970083,-2.149725031,0.288245052
DSRNRYQBBJQVCW-UHFFFAOYSA-N,2.4421,228.679,2,2,1,0.4,82,-2.5599999,-2.271629718,0.2883701818
BXAMVNHBXFXFSK-UHFFFAOYSA-N,2.1615,292.423,6,2,0,0,118,-3.06807152,-3.356740005,0.2886684847
ITRJWOMZKQRYTA-RFZYENFJSA-N,2.5606,402.487,3,6,1,0,158,-4,-3.711253453,0.288746547
VDUWPHTZYNWKRN-UHFFFAOYSA-N,0.8433,262.221,2,6,1,0.5263157895,98,-3.179368007,-2.890421463,0.2889465443
MWBWWFOAEOYUST-UHFFFAOYSA-N,-0.0649,135.13,0,4,2,0.9,50,-1.209950395,-1.498949319,0.2889989241
QWVGKYWNOKOFNN-UHFFFAOYSA-N,1.70062,108.14,0,1,1,0.75,42,-0.62,-0.9090620469,0.2890620469
WRCHFMBCVFFYEQ-UHFFFAOYSA-N,3.5276,289.806,5,2,1,0.6,106,-3.617812149,-3.328741469,0.2890706796
SKLUWKYNZNXSLX-UHFFFAOYSA-N,1.4575,163.176,2,2,1,0.5,62,-1.58,-1.869163594,0.2891635936
DKNQVJWYIUJWNC-UHFFFAOYSA-N,1.30067,201.613,2,3,2,0.4615384615,70,-1.497789567,-1.208484132,0.2893054355
YFGYUFNIOHWBOB-UHFFFAOYSA-N,1.21984,238.291,2,5,0,0.3529411765,94,-1.95,-1.660475333,0.2895246673
OETBURNRZVFMMY-UHFFFAOYSA-N,2.9714,295.379,6,4,0,0.2857142857,118,-3.110544134,-3.400448422,0.2899042878
LVZBMEOGPGFHKB-UHFFFAOYSA-N,0.6571,398.975,11,3,2,0.2222222222,154,-5.889725872,-5.599208832,0.2905170402
JFGILDJCNBOAGG-UHFFFAOYSA-N,2.3446,300.402,5,3,0,0.2727272727,118,-2.796461597,-3.08709828,0.2906366835
NIWCFXFECXNXGD-PFEQFJNWSA-N,3.5747,317.816,1,3,1,0.5454545455,116,-4.042779156,-4.333598499,0.2908193433
SYZIUAAQNFJPJY-UHFFFAOYSA-N,1.7487,149.149,0,2,1,0.5454545455,56,-1.737457699,-2.028501882,0.2910441833
GIDUQUXTSWWQMG-UHFFFAOYSA-N,2.1267,153.269,1,1,0,0,64,-1.607962524,-1.899375849,0.2914133247
YTIZHZPRFYKRIG-RUZUBIRVSA-N,-0.8506,369.33,5,11,1,0.2307692308,142,-2.519361401,-2.810847441,0.2914860395
YFUWSMRQAKOQQG-UHFFFAOYSA-N,1.44972,280.396,5,5,2,0.3125,90,-2.219852582,-1.928237162,0.2916154201
WBEJYOJJBDISQU-VKHMYHEASA-N,2.3836,236.334,2,0,0,0,38,-2.3800001,-2.671853663,0.2918535633
DRAZTHQSSHSOGK-UHFFFAOYSA-N,1.8802,260.334,7,4,2,0,106,-3.112334851,-2.820447302,0.2918875491
LCLCVVVHIPPHCG-UHFFFAOYSA-N,1.5807,142.198,2,2,0,0,58,-1.63,-1.338070307,0.2919296931
HXGHMCLCSPQMOR-UHFFFAOYSA-N,2.34662,170.595,1,1,1,0.5454545455,58,-2.772566173,-3.064641237,0.2920750643
ORMNNUPLFAPCFD-DVLYDCSHSA-M,-3.2451,402.513,5,6,1,0.2307692308,134,-1.245506205,-0.9532274258,0.2922787792
XJBQYXCXGYSVBZ-UHFFFAOYSA-N,0.8071,182.219,4,3,2,0.4615384615,72,-1.279681697,-1.572077295,0.2923955976
TWAWHTJKASJPEK-UHFFFAOYSA-J,-7.415,406.078,11,10,0,0,128,-0.250674614,-0.5433067545,0.2926321405
PUNRPAWKFTXZIW-UHFFFAOYSA-N,1.1707,112.172,2,1,1,0,46,-0.733285161,-1.026767785,0.2934826244
OPNGZXISEXVYBU-BTJKTKAUSA-N,3.4028,456.564,4,6,2,0.375,170,-5.387653409,-5.68128933,0.2936359205
UYOCGYKHIPHFBD-UHFFFAOYSA-N,2.5029,262.353,5,4,0,0.3157894737,104,-2.332526204,-2.626262462,0.2937362575
WIMYYXRANPYBED-UHFFFAOYSA-N,0.2115,72.111,1,2,1,0,30,0.11048143,-0.1833934319,0.2938748619
CSUHFMCPKPKGOF-UHFFFAOYSA-N,2.5524,209.252,0,3,2,0.875,78,-3.10582577,-3.400024652,0.2941988825
OYZJQXIQTJRRCG-UHFFFAOYSA-N,2.5524,209.252,0,3,2,0.875,78,-3.10582577,-3.400024652,0.2941988825
YLRXBQGINRDTNY-UHFFFAOYSA-N,2.5524,209.252,0,3,2,0.875,78,-3.10582577,-3.400024652,0.2941988825
AMOPBNMABDFREG-UHFFFAOYSA-N,2.5524,209.252,0,3,2,0.875,78,-3.400024616,-3.105825663,0.2941989534
AXNLREBQOMGJMQ-UHFFFAOYSA-N,2.5524,209.252,0,3,2,0.875,78,-3.400024616,-3.105825663,0.2941989534
TUAMRELNJMMDMT-UHFFFAOYSA-N,2.00904,122.167,0,1,1,0.6666666667,48,-1.4,-1.694261113,0.2942611134
NBNTWDUNCHRWMT-UHFFFAOYSA-N,4.6726,330.214,3,2,1,0.8181818182,110,-4.924395054,-4.629938937,0.2944561169
BCMCBBGGLRIHSE-UHFFFAOYSA-N,1.8278,119.123,0,2,0,1,44,-1.16,-1.454625906,0.2946259064
ZPMVNZLARAEGHB-UHFFFAOYSA-N,5.1197,323.867,0,1,0,0.5217391304,118,-5.453457838,-5.748143988,0.2946861497
AUDJIMCCPSCDGO-UHFFFAOYSA-N,3.4677,247.382,6,2,0,0.3333333333,100,-3.690076718,-3.395082982,0.2949937358
TYMLOMAKGOJONV-UHFFFAOYSA-N,1.177,138.126,1,3,1,0.6,52,-2.3699999,-2.075000048,0.2949998523
XKLZIVIOZDNKEQ-FWCPINHQSA-N,-1.06888,361.445,8,6,4,0.2608695652,128,-1.98,-1.684879303,0.295120697
XKLZIVIOZDNKEQ-RVUDUMFNSA-N,-1.06888,361.445,8,6,4,0.2608695652,128,-1.684879248,-1.980000019,0.2951207711
YLQWCDOCJODRMT-UHFFFAOYSA-N,2.898,180.206,0,1,0,0.8571428571,66,-3.852477078,-3.55733583,0.2951412479
LCGFVWKNXLRFIF-UHFFFAOYSA-N,1.5026,147.221,0,1,1,0.5454545455,58,-1.044118093,-1.339263313,0.2951452198
QURCVMIEKCOAJU-HWKANZROSA-N,1.4986,194.186,3,3,2,0.4285714286,74,-1.431489025,-1.726823949,0.2953349239
GHASVSINZRGABV-UHFFFAOYSA-N,-0.7977,130.078,0,2,2,0.6666666667,48,-1.0700001,-1.365527955,0.2955278552
LVHCUONWHLDNDW-ZROIWOOFSA-N,2.8503,238.718,5,3,0,0.375,86,-2.971339529,-2.675410839,0.2959286898
JYGXADMDTFJGBT-VWUMJDOOSA-N,1.7816,362.466,2,5,3,0,144,-3.054117297,-3.350558726,0.2964414292
SVFKQHLOBRUZGV-UHFFFAOYSA-N,2.2246,254.293,1,4,0,0.6315789474,96,-2.6199999,-2.916661006,0.2966611056
FTRNOUCMCKWOKR-UHFFFAOYSA-N,5.469,387.829,8,4,0,0.2857142857,120,-4.882750812,-5.179513257,0.2967624445
AMVYOVYGIJXTQB-UHFFFAOYSA-N,3.581,286.331,4,3,1,0.5714285714,110,-4.1599998,-3.863224845,0.2967749551
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,2.6709,277.364,8,3,0,0.3,110,-2.765899586,-3.063213912,0.2973143262
GHKISGDRQRSCII-ZOCIIQOWSA-N,2.3313,353.374,0,6,1,0.4615384615,134,-3.390173786,-3.092781066,0.29739272
SGLGUTWNGVJXPP-UHFFFAOYSA-N,1.30164,153.144,0,3,0,0.5,54,-1.124402146,-1.421881074,0.2974789283
MOCKWYUCPREFCZ-UHFFFAOYSA-N,0.6818,151.169,1,2,3,0.5454545455,58,-2.3299999,-2.032389316,0.2976105844
ZYDUNXCLPOKBNQ-UHFFFAOYSA-N,2.0931,139.242,0,1,1,0,58,-1.144204764,-1.441837658,0.2976328941
XTMMHYGQTNDKST-SNISIANXSA-N,2.7642,477.598,7,6,5,0.1764705882,190,-5.107353659,-4.809620075,0.2977335838
BUYJXXRXCHMFDZ-UHFFFAOYSA-N,4.6086,364.898,5,5,1,0.5,128,-5.847829821,-5.549322128,0.2985076927
VNKYTQGIUYNRMY-UHFFFAOYSA-N,1.0428,74.123,2,1,0,0,32,-0.38999999,-0.09148385197,0.298516138
JGFZITGNFAVSKU-UHFFFAOYSA-N,2.73094,168.261,1,2,1,0.5454545455,60,-2.588475668,-2.289698507,0.298777161
KWILGNNWGSNMPA-UHFFFAOYSA-N,1.4936,178.187,0,3,1,0.4615384615,68,-1.969842649,-1.67098763,0.2988550192
ASSKVPFEZFQQNQ-UHFFFAOYSA-N,1.1211,135.122,0,2,1,0.9,50,-1.178321093,-0.87940237,0.298918723
UIAGMCDKSXEBJQ-UHFFFAOYSA-N,2.9708,418.446,8,8,1,0.2,162,-4.236927688,-3.937732078,0.2991956103
XGFHLWWVVDNLGA-UHFFFAOYSA-N,2.5078,240.391,4,2,0,0,100,-2.888157833,-2.588468712,0.299689121
OHBQPCCCRFSCAX-UHFFFAOYSA-N,1.7038,138.166,2,2,0,0.6,54,-2.002730647,-1.702612998,0.3001176491
QYOYUQUNULCUIG-UHFFFAOYSA-N,4.1103,303.833,5,2,0,0.5714285714,112,-3.234657373,-3.534990797,0.300333424
BAYAKMPRFGNNFW-UHFFFAOYSA-N,1.6593,116.204,2,1,1,0,50,-1.22,-0.919658629,0.300341371
KRPAJLYSLFNDOA-UHFFFAOYSA-N,0.83002,225.244,5,4,2,0.375,88,-1.460558628,-1.76105928,0.3005006515
RZTAMFZIAATZDJ-UHFFFAOYSA-N,3.9643,384.259,4,5,1,0.24,134,-4.289930631,-4.590476803,0.3005461719
ATHNPVQWHCXXBZ-UHFFFAOYSA-N,2.0243,260.334,8,4,2,0,106,-3.17498166,-2.874402621,0.3005790392
ATJFNCBLTADTPP-UHFFFAOYSA-N,2.0243,260.334,8,4,2,0,106,-3.17498166,-2.874402621,0.3005790392
BJBAFESJPDKJEJ-UHFFFAOYSA-N,2.0243,260.334,8,4,2,0,106,-3.17498166,-2.874402621,0.3005790392
KLYLIFFVIQXKAZ-UHFFFAOYSA-N,2.0243,260.334,8,4,2,0,106,-3.17498166,-2.874402621,0.3005790392
UUDDUULTKKTFNC-UHFFFAOYSA-N,2.0243,260.334,8,4,2,0,106,-3.17498166,-2.874402621,0.3005790392
ZGUGWUXLJSTTMA-UHFFFAOYSA-N,4.241,284.428,4,3,0,0.6,104,-4.3000002,-4.600712514,0.3007123139
YJQYMUPERFRTJO-UHFFFAOYSA-N,-0.14556,183.171,1,4,1,0.3846153846,70,-1.064199653,-1.364976885,0.3007772322
XKFPYPQQHFEXRZ-UHFFFAOYSA-N,1.41762,231.255,4,4,2,0.6470588235,88,-2.46,-2.158957932,0.3010420683
CXWWSOPNZQPTJX-UHFFFAOYSA-N,4.9564,317.885,3,2,0,0.5714285714,110,-5.249403342,-4.948314135,0.3010892072
NPDBEUDAYBQLHV-UHFFFAOYSA-N,-0.08508,195.222,1,4,1,0.4285714286,76,-1.183318788,-1.484442105,0.3011233167
AMETXLUKRWWYMK-UHFFFAOYSA-N,-0.3764,417.977,8,3,1,0.4137931034,158,-4.739194296,-5.040402696,0.3012084001
MLYYVTUWGNIJIB-BXKDBHETSA-N,-0.63608,454.519,7,12,2,0.3448275862,152,-3.327524266,-3.025944196,0.3015800699
PSGAAPLEWMOORI-PEINSRQWSA-N,4.6552,386.532,2,4,0,0,154,-5.508004219,-5.206202481,0.3018017377
SWZKVMOOTCVDGL-UHFFFAOYSA-N,2.93512,253.367,6,3,2,0.3529411765,94,-3.647101942,-3.345136302,0.3019656405
OIFBSDVPJOWBCH-UHFFFAOYSA-N,1.1794,118.132,2,3,0,0,48,-0.798209707,-1.100219432,0.302009725
TXTDSKOBDLHVMR-UHFFFAOYSA-N,2.124,150.502,2,0,0,0,50,-2.417116931,-2.115009911,0.3021070197
HTWRBOWJUNHVMN-VMPITWQZSA-N,2.4782,242.366,3,2,0,0.3333333333,96,-2.367438356,-2.669556884,0.3021185282
UFXKNBSRFXTFIU-UHFFFAOYSA-N,-0.0764,310.268,6,0,1,0.6,108,-4.186377204,-3.884179341,0.3021978634
LRHPLDYGYMQRHN-UHFFFAOYSA-N,0.7788,74.123,2,1,1,0,32,0,-0.302217347,0.302217347
UONKAYXKEKSURY-UHFFFAOYSA-N,2.9251,244.382,3,2,0,0.3333333333,98,-3.52296524,-3.22051308,0.3024521598
VUGRNZHKYVHZSN-UHFFFAOYSA-N,1.5608,126.199,4,1,1,0,52,-1.286808318,-0.9841409199,0.3026673981
AANLIOPOVSJZLY-UHFFFAOYSA-N,0.391,205.601,4,5,1,0.3846153846,72,-1.218897311,-0.9162050581,0.3026922529
CJECIMVYFNJMEE-UHFFFAOYSA-N,3.0631,389.326,11,6,2,0.2727272727,126,-2.964978646,-3.26767785,0.3026992041
KXCQDIWJQBSUJF-UHFFFAOYSA-N,2.8101,161.229,1,2,0,1,54,-2.731753116,-2.428787303,0.3029658128
QPJVMBTYPHYUOC-UHFFFAOYSA-N,1.4732,136.15,1,2,0,0.6,52,-1.85,-1.546991423,0.3030085771
WBBVXGHSWZIJST-RLQYZCPESA-N,0.0863,376.405,0,7,3,0,146,-2.154051457,-1.850947116,0.3031043413
MSXVEPNJUHWQHW-UHFFFAOYSA-N,1.1673,88.15,1,1,1,0,38,0.079999998,-0.2232887836,0.3032887816
JFSPBVWPKOEZCB-UHFFFAOYSA-N,2.84032,201.225,2,2,1,0.7333333333,76,-3.3,-2.996665017,0.3033349827
WHKUVVPPKQRRBV-UHFFFAOYSA-N,2.11182,200.621,3,2,1,0.4615384615,70,-2.23,-1.926540976,0.3034590241
SYTBZMRGLBWNTM-UHFFFAOYSA-N,3.6808,244.265,3,1,1,0.6666666667,92,-4.15,-3.846378917,0.3036210835
FGPJTMCJNPRZGF-JXMROGBWSA-N,2.9939,240.258,3,3,2,0.6666666667,90,-3.339285172,-3.035650676,0.303634496
BQDLTSGIXOYYHY-QPJJXVBHSA-N,1.2138,193.202,3,3,2,0.4285714286,74,-1.729709117,-1.425933123,0.3037759939
VVNCNSJFMMFHPL-VKHMYHEASA-N,0.1067,149.215,2,3,3,0,54,-0.13,0.1743871061,0.3043871061
QUCYHTNWCIUCRQ-UHFFFAOYSA-N,4.3549,271.876,4,1,0,0,106,-4.238466411,-4.542918396,0.304451985
OKPXKOTXEVLWNV-UHFFFAOYSA-N,0.91922,289.335,3,6,0,0.5714285714,112,-2.164735767,-2.46934197,0.3046062028
WJTCGQSWYFHTAC-UHFFFAOYSA-N,3.1208,112.216,0,0,0,0,48,-4.1500001,-4.454946501,0.3049464013
HPEKSGQVQCIFCM-UHFFFAOYSA-N,4.5529,359.897,5,3,0,0.48,134,-4.641302801,-4.33560322,0.3056995805
AZNVGKVGQKSOIC-UHFFFAOYSA-N,3.9467,313.828,5,2,0,0.5454545455,114,-3.39288383,-3.698621364,0.3057375336
MQOBSOSZFYZQOK-UHFFFAOYSA-N,3.813,318.756,5,3,1,0.5454545455,114,-4.54393589,-4.238076146,0.3058597444
LGYTZKPVOAIUKX-UHFFFAOYSA-N,2.9668,322.364,5,3,0,0.5,122,-3.27,-3.575865024,0.3058650243
JANNQSLLUJUMEN-UHFFFAOYSA-N,1.0698,252.361,5,4,2,0,88,-2.181890058,-1.875997306,0.3058927517
VPIRVRHBFOMBQB-UHFFFAOYSA-N,3.5544,292.426,3,2,0,0.5454545455,114,-3.474789893,-3.780812474,0.3060225815
GOYJQKVVEOIVCJ-UHFFFAOYSA-N,2.072,198.609,1,4,1,0.6923076923,68,-2.481088525,-2.174994146,0.3060943795
YANZREKXCRAKRB-UHFFFAOYSA-N,3.2465,423.937,10,6,1,0.4137931034,160,-3.663982727,-3.357867355,0.3061153717
DOHZIJDJOSBJFP-UHFFFAOYSA-N,2.1212,315.307,8,7,2,0.2857142857,114,-2.8859401,-2.579475055,0.3064650447
IPWKIXLWTCNBKN-UHFFFAOYSA-N,0.69942,219.628,4,5,1,0.3571428571,78,-1.705294189,-2.011933126,0.3066389369
ULGZDMOVFRHVEP-RWJQBGPGSA-N,1.7856,733.937,7,14,5,0,298,-5.70820202,-6.015309111,0.3071070906
PAAZPARNPHGIKF-UHFFFAOYSA-N,1.7762,187.862,1,0,0,0,26,-1.6799999,-1.987187886,0.3071879856
VGPYEHKOIGNJKV-UHFFFAOYSA-N,0.3135,230.245,2,5,2,0.4,82,-1.66,-1.967254951,0.3072549507
XOVJAYNMQDTIJD-UHFFFAOYSA-N,0.8811,234.255,3,3,2,0,90,-2.198840666,-2.506329467,0.3074888013
HPKHFBFBFGSLPZ-UHFFFAOYSA-N,1.0981,210.277,5,4,2,0.4,84,-1.620361215,-1.312508862,0.3078523531
SBNKFTQSBPKMBZ-UHFFFAOYSA-N,1.1842,165.192,3,2,1,0.5,64,-1.563235078,-1.255353164,0.3078819137
YCISZOVUHXIOFY-HKXOFBAYSA-N,3.4619,559.4,4,7,1,0,192,-5.506425851,-5.198472658,0.3079531934
LHIALLMPKJMSIQ-NSCUHMNNSA-N,0.8709,246.23,3,7,1,0.6111111111,92,-2.112358848,-2.420323011,0.3079641635
NYHBQMYGNKIUIF-FTWQFJAYSA-N,-2.6867,283.244,2,9,5,0.45,108,-0.95385015,-1.262027031,0.3081768809
HDGAKKHUALYJSA-UHFFFAOYSA-N,0.9172,366.376,7,0,1,0.5,132,-5.665743421,-5.357356813,0.308386608
MQWCXKGKQLNYQG-LJGSYFOKSA-N,1.5574,114.188,0,1,1,0,48,-0.88,-1.188434005,0.3084340048
UNEPJNUFVDMRKA-UHFFFAOYSA-N,-1.7989,151.681,4,0,1,0,58,-1.063651269,-0.7551878545,0.3084634145
CJDRUOGAGYHKKD-XKUWCPECSA-N,1.5545,326.44,1,4,2,0.25,128,-2.8199999,-2.51099056,0.3090093405
HBGFIKZGJDWPRO-UHFFFAOYSA-M,-0.2272,254.863,0,2,0,0.5,60,-1.24491834,-0.9358812218,0.3090371182
ODSCUBSJIFLFPF-UHFFFAOYSA-N,2.6417,177.247,4,2,1,0.4615384615,70,-2.459633142,-2.768791604,0.309158462
NUJGJRNETVAIRJ-UHFFFAOYSA-N,2.5458,128.215,6,1,0,0,54,-2.3599999,-2.050585656,0.3094142438
JZFPYUNJRRFVQU-UHFFFAOYSA-N,3.5422,282.221,3,3,2,0.6,104,-4.58,-4.270483811,0.3095161891
QZXCCPZJCKEPSA-UHFFFAOYSA-N,3.2739,239.485,2,1,1,0.4615384615,70,-3.0799999,-2.770237789,0.3097621114
JWUCHKBSVLQQCO-MRXNPFEDSA-N,2.4924,301.296,4,4,1,0.7727272727,112,-3.3699999,-3.060110807,0.3098890926
PQOSNJHBSNZITJ-QMMMGPOBSA-N,2.3376,130.231,4,1,1,0,56,-1.6,-1.909973643,0.3099736434
LTEQMZWBSYACLV-UHFFFAOYSA-N,3.8094,162.276,5,0,0,0.5,66,-5.21,-4.89973911,0.3102608903
NWIUTZDMDHAVTP-UHFFFAOYSA-N,2.3934,307.434,11,4,2,0.2727272727,124,-2.833864323,-2.523529454,0.3103348685
LMTGCJANOQOGPI-UHFFFAOYSA-N,1.6693,149.193,1,1,0,0.5454545455,58,-0.94999999,-0.6396402562,0.3103597338
XLSCZCCJPDTCGU-UHFFFAOYSA-N,1.4859,118.201,0,2,0,0,42,-1.445229574,-1.75561683,0.3103872558
NZDNCDGEHXHPCO-UHFFFAOYSA-N,-1.1033,240.128,9,8,0,0,92,-1.21907482,-0.9084548103,0.3106200097
HKOZYKMXXBHEHT-UHFFFAOYSA-M,1.283,425.354,8,1,0,0.5217391304,126,-2.485735721,-2.796410418,0.3106746972
ZYPGADGCNXOUJP-CXVPHVKISA-N,2.7452,291.391,7,3,1,0,116,-3.584234343,-3.273425919,0.3108084242
SCSHLMQESUQPEU-UHFFFAOYSA-N,3.7132,228.339,2,1,1,0.5294117647,90,-2.554440662,-2.865394866,0.3109542039
RZYSYUCNZPOXMK-UHFFFAOYSA-N,2.8768,301.386,4,4,0,0.2727272727,118,-3.332995024,-3.021988415,0.3110066089
WIFUNPSFTQIUIF-UHFFFAOYSA-N,2.0141,236.315,8,3,2,0.3529411765,94,-2.862946279,-2.551779052,0.3111672271
GXGJIOMUZAGVEH-UHFFFAOYSA-N,3.97064,184.282,1,0,0,0.7142857143,72,-5.619864179,-5.308569381,0.3112947984
GHOMLITVLACWGO-UHFFFAOYSA-N,4.2727,299.458,3,2,1,0.2727272727,120,-4.50832022,-4.819678209,0.3113579888
KLSLAJCPPHOEAM-UHFFFAOYSA-N,3.16882,365.47,10,6,0,0.2307692308,146,-4.386760474,-4.074715559,0.312044915
RKBPFDSABQZWQQ-UHFFFAOYSA-N,3.16882,365.47,10,6,0,0.2307692308,146,-4.386760474,-4.074715559,0.312044915
WZKXTRAAYUOPSE-UHFFFAOYSA-N,0.8173,212.245,5,4,2,0.4,84,-1.597672678,-1.284911374,0.3127613037
YJDHHWUZVJSQQZ-UHFFFAOYSA-N,0.8173,212.245,5,4,2,0.4,84,-1.597672678,-1.284911374,0.3127613037
CJDRUOGAGYHKKD-RQBLFBSQSA-N,1.5545,326.44,1,4,2,0.25,128,-2.823873265,-2.51099056,0.3128827055
FKRCODPIKNYEAC-UHFFFAOYSA-N,0.9595,102.133,2,2,0,0,42,-0.66000003,-0.346965439,0.313034591
GMZHWOAPIKGZAJ-UHFFFAOYSA-N,-0.6711,313.789,2,3,3,0.2857142857,116,-3.303508979,-2.989538988,0.3139699908
AMDBBAQNWSUWGN-UHFFFAOYSA-N,-2.016,807.114,12,9,8,0.1818181818,186,-3.844729604,-3.530743206,0.3139863976
IKLQOPICWGDGGF-UHFFFAOYSA-N,4.0535,428.767,8,4,0,0.3,114,-4.62788984,-4.313704243,0.3141855973
MAHSANFPQVGYHC-UHFFFAOYSA-N,3.6852,338.835,2,3,0,0.5,116,-3.709774,-4.024043975,0.3142699749
BSPCSKHALVHRSR-SCSAIBSYSA-N,2.0237,92.569,1,0,0,0,32,-1.96,-2.274891424,0.3148914242
ZBTMRBYMKUEVEU-UHFFFAOYSA-N,2.75752,171.037,0,0,0,0.75,42,-3.1900001,-2.875,0.3150001
SYSHPMOZZLONAK-UHFFFAOYSA-N,2.5147,324.852,6,3,1,0.2727272727,122,-2.999798173,-3.315615772,0.3158175989
WYTRYIUQUDTGSX-UHFFFAOYSA-N,1.6099,136.194,2,1,1,0.6,54,-1.367893885,-1.051811453,0.3160824325
AJLQXEQUKXLZMN-UHFFFAOYSA-N,3.2052,269.043,7,1,0,0,82,-2.670134497,-2.986289131,0.3161546343
PYSLAXNKITVDGO-NUEKZKHPSA-N,1.5313,259.349,0,2,2,0.3157894737,102,-2.705463678,-2.389264942,0.3161987356
FOOCWHCIEFPXAT-UHFFFAOYSA-N,3.4061,289.847,3,3,0,0,112,-3.584217348,-3.900445283,0.3162279351
HJXQETKWGAZTPT-UHFFFAOYSA-M,1.7788,458.389,7,5,1,0.4615384615,134,-4.06351342,-3.7471688,0.3163446198
VEZDUYOIFCALMU-UHFFFAOYSA-N,-3.3499,574.637,16,8,8,0,212,-0.193535179,-0.5098991984,0.3163640194
SUBDBMMJDZJVOS-UHFFFAOYSA-N,2.89974,345.424,5,5,1,0.625,126,-3.623049412,-3.93955424,0.3165048275
WVCOAAVBRUYWPP-UHFFFAOYSA-N,-1.4615,375.896,7,3,2,0.4615384615,140,-3.503182242,-3.186647195,0.3165350466
LMINNBXUMGNKMM-UHFFFAOYSA-N,3.5462,271.341,2,3,1,0.6315789474,96,-3.9400001,-4.256698542,0.3166984416
FXHGMKSSBGDXIY-UHFFFAOYSA-N,2.1557,114.188,5,1,0,0,48,-1.7,-2.017003055,0.3170030546
QMMOXUPEWRXHJS-HWKANZROSA-N,1.9725,70.135,1,0,0,0,30,-2.54,-2.222881077,0.3171189231
BKUXFGWLJDZSMK-UHFFFAOYSA-N,2.1746,153.269,2,1,1,0,64,-1.814386462,-1.497074164,0.3173122977
YRZBWKXTJMKJIO-UHFFFAOYSA-N,2.0158,150.218,4,2,0,0,54,-1.696694794,-2.014171205,0.3174764112
